"","nazwa","teryt"
"542","SZELKÓW","141110_2"
"543","WIŚNIEWO","141310_2"
"544","HALINÓW - OBSZAR WIEJSKI","141207_5"
"545","Czosnów","141402_2"
"546","RÓŻAN - MIASTO","141107_4"
"547","Zakroczym","141406_5"
"548","Nur","141606_2"
"549","KOŁBIEL","141705_2"
"550","GĄBIN-MIASTO","141906_4"
"551","JONIEC","142006_2"
"552","ŁĄCK","141907_2"
"553","NARUSZEWO","142007_2"
"554","RACIĄŻ","142002_1"
"555","NADARZYN","142105_2"
"556","IŁŻA - OBSZAR WIEJSKI","142503_5"
"557","Mokobody","142604_2"
"558","WOLANÓW","142512_2"
"559","ODRZYWÓŁ","142304_2"
"560","RUSINÓW","142307_2"
"561","SIERPC - GMINA","142705_2"
"562","IŁŻA - MIASTO","142503_4"
"563","ZAKRZEW","142513_2"
"564","PIONKI","142508_2"
"565","Mordy - miasto","142605_4"
"566","BROCHÓW","142802_2"
"567","IŁÓW","142803_2"
"568","CERANÓW","142903_2"
"569","LIW","143304_2"
"570","ŻUROMIN-obszar wiejski","143706_5"
"571","WYSZKÓW-MIASTO","143505_4"
"572","MSZCZONÓW - OBSZAR WIEJSKI","143802_5"
"573","M. SIEDLCE","146401_1"
"574","M. RADOM","146301_1"
"575","M. PŁOCK","146201_1"
"576","SOMIANKA","143504_2"
"577","Białołęka","146503_8"
"578","Bielany","146504_8"
"579","Bemowo","146502_8"
"580","TARGÓWEK","146511_8"
"581","POKÓJ","160603_2"
"582","OZIMEK - OBSZAR WIEJSKI","160908_5"
"583","BRZEG-MIASTO","160101_1"
"584","GRODKÓW - MIASTO","160103_4"
"585","LEWIN BRZESKI - OBSZAR WIEJSKI","160104_5"
"586","BABORÓW - OBSZAR WIEJSKI","160201_5"
"587","LUBSZA","160105_2"
"588","Chorkówka","180701_2"
"589","DOMASZOWICE","160601_2"
"590","ZĘBOWICE","160807_2"
"591","Chłopice","180403_2"
"592","GOGOLIN - OBSZAR WIEJSKI","160501_5"
"593","MURÓW","160906_2"
"594","KRAPKOWICE - OBSZAR WIEJSKI","160502_5"
"595","LASOWICE WIELKIE","160403_2"
"596","WOŁCZYN - OBSZAR WIEJSKI","160404_5"
"597","GRODKÓW - OBSZAR WIEJSKI","160103_5"
"598","DROHICZYN - OBSZAR WIEJSKI","201002_5"
"599","KLESZCZELE MIASTO","200507_4"
"600","TURAWA","160913_2"
"601","Radymno","180408_2"
"602","Wizna","200708_2"
"603","Niwiska","180604_2"
"604","Dukla - M","180702_4"
"605","SZCZUCZYN - OBSZAR WIEJSKI","200405_5"
"606","CIECHANOWIEC","201302_4"
"607","Miastko - Miasto","220106_4"
"608","Studzienice","220108_2"
"609","Białystok","206101_1"
"610","NOWE PIEKUTY","201307_2"
"611","RUTKA-TARTAK","201206_2"
"612","Ryjewo","220705_2"
"613","Pelplin - M","221404_4"
"614","Subkowy","221405_2"
"615","CHOCZEWO","221504_2"
"616","Starogard Gdański - M","221303_1"
"617","LUZINO","221507_2"
"618","Żukowo - G","220508_5"
"619","Kwidzyn - M","220701_1"
"620","Kościerzyna","220604_2"
"621","Stegna","221004_2"
"622","Miłoradz","220906_2"
"623","GASZOWICE","241202_2"
"624","SZCZEKOCINY - MIASTO","241608_4"
"625","M. Bytom","246201_1"
"626","Bobrowniki","240104_2"
"627","Rędziny","240415_2"
"628","Ornontowice","240804_2"
"629","Kłomnice","240405_2"
"630","Żarki - miasto","240905_4"
"631","Bojszowy","241404_2"
"632","WODZISŁAW ŚLĄSKI","241504_1"
"633","Gierałtowice","240503_2"
"634","BUSKO-ZDRÓJ - obszar wiejski","260101_5"
"635","Mstów","240410_2"
"636","STRUMIEŃ - OBSZAR WIEJSKI","240311_5"
"637","SKOCZÓW - MIASTO","240310_4"
"638","JEJKOWICE","241203_2"
"639","SZCZYRK","240201_1"
"640","Wręczyca Wielka","240609_2"
"641","Dąbrowa Zielona","240402_2"
"642","KROCZYCE","241604_2"
"643","Kamienica Polska","240404_2"
"644","Rudziniec","240505_2"
"645","Popów","240607_2"
"646","SKALBMIERZ - obszar wiejski","260305_5"
"647","TUCZĘPY","260107_2"
"648","TARŁÓW","260607_2"
"649","SOBKÓW","260208_2"
"650","Kunów - miasto","260705_4"
"651","Koprzywnica - obszar wiejski","260904_5"
"652","Skarżysko Kościelne","261004_2"
"653","SŁUPIA (KONECKA)","260506_2"
"654","STARACHOWICE","261101_1"
"655","BRODY","261102_2"
"656","Ostrowiec Świętokrzyski","260701_1"
"657","SECEMIN","261305_2"
"658","Gm_Wilczęta","280207_2"
"659","Gm_Lelkowo","280204_2"
"660","M_Pieniężno","280205_4"
"661","Gm_Pieniężno","280205_5"
"662","Rybno","280306_2"
"663","Połaniec - obszar wiejski","261205_5"
"664","Miasto Kisielice","280704_4"
"665","Miasto Susz","280706_4"
"666","LIDZBARK WARMIŃSKI","280901_1"
"667","Janowiec Kościelny","281101_2"
"668","JONKOWO","281407_2"
"669","NOWE MIASTO LUBAWSKIE - GMINA","281205_2"
"670","GIETRZWAŁD","281405_2"
"671","DŹWIERZUTY","281702_2"
"672","ŚWIĘTAJNO","281305_2"
"673","BIAŁA PISKA - OBSZAR WIEJSKI","281601_5"
"674","Pogorzela - miasto","300406_4"
"675","Szamocin - miasto","300105_4"
"676","DRAWSKO","300203_2"
"677","KŁODAWA MIASTO","300906_4"
"678","Wielichowo - obszar wiejski","300505_5"
"679","Żerków - miasto","300604_4"
"680","STAWISZYN - OBSZAR WIEJSKI","300709_5"
"681","Borek Wielkopolski - obszar wiejski","300401_5"
"682","Grodzisk Wielkopolski - obszar wiejski","300502_5"
"683","WIERZBINEK","301013_2"
"684","ŁĘKA OPATOWSKA","300804_2"
"685","ŻELAZKÓW","300711_2"
"686","KOŹMIN WIELKOPOLSKI - OBSZAR WIEJSKI","301203_5"
"687","ROGOŹNO-MIASTO","301602_4"
"688","SZYDŁOWO","301906_2"
"689","ZBĄSZYŃ - miasto","301506_4"
"690","ROGOŹNO-OBSZAR WIEJSKI","301602_5"
"691","Osieczna - Miasto","301303_4"
"692","RYCZYWÓŁ","301603_2"
